date,year,month,decade,era,home_team,away_team,home_score,away_score,goal_diff,total_goals,result,went_to_shootout,shootout_winner,shootout_first_shooter,tournament,tournament_tier,is_high_stakes,city,country,neutral,has_home_advantage,total_goals_recorded,own_goals_count,penalties_count,unique_scorers
1898-02-19,1898,2,1890,Pioneer Era (pre-1900),Wales,Northern Ireland,0,1,-1,1,away_win,False,,,British Home Championship,3,False,Llandudno,Wales,False,True,0,0,0,0
1898-03-05,1898,3,1890,Pioneer Era (pre-1900),Northern Ireland,England,2,3,-1,5,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1898-03-19,1898,3,1890,Pioneer Era (pre-1900),Scotland,Wales,5,2,3,7,home_win,False,,,British Home Championship,3,False,Motherwell,Scotland,False,True,0,0,0,0
1898-03-26,1898,3,1890,Pioneer Era (pre-1900),Northern Ireland,Scotland,0,3,-3,3,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1898-03-28,1898,3,1890,Pioneer Era (pre-1900),Wales,England,0,3,-3,3,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1898-04-02,1898,4,1890,Pioneer Era (pre-1900),Scotland,England,1,3,-2,4,away_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1899-02-18,1899,2,1890,Pioneer Era (pre-1900),England,Northern Ireland,13,2,11,15,home_win,False,,,British Home Championship,3,False,Sunderland,England,False,True,0,0,0,0
1899-03-04,1899,3,1890,Pioneer Era (pre-1900),Northern Ireland,Wales,1,0,1,1,home_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1899-03-18,1899,3,1890,Pioneer Era (pre-1900),Wales,Scotland,0,6,-6,6,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1899-03-20,1899,3,1890,Pioneer Era (pre-1900),England,Wales,4,0,4,4,home_win,False,,,British Home Championship,3,False,Bristol,England,False,True,0,0,0,0
1899-03-25,1899,3,1890,Pioneer Era (pre-1900),Scotland,Northern Ireland,9,1,8,10,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1899-04-08,1899,4,1890,Pioneer Era (pre-1900),England,Scotland,2,1,1,3,home_win,False,,,British Home Championship,3,False,Birmingham,England,False,True,0,0,0,0
1900-02-03,1900,2,1900,Early Era (1900-1929),Scotland,Wales,5,2,3,7,home_win,False,,,British Home Championship,3,False,Aberdeen,Scotland,False,True,0,0,0,0
1900-02-24,1900,2,1900,Early Era (1900-1929),Wales,Northern Ireland,2,0,2,2,home_win,False,,,British Home Championship,3,False,Llandudno,Wales,False,True,0,0,0,0
1900-03-03,1900,3,1900,Early Era (1900-1929),Northern Ireland,Scotland,0,3,-3,3,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1900-03-17,1900,3,1900,Early Era (1900-1929),Northern Ireland,England,0,2,-2,2,away_win,False,,,British Home Championship,3,False,Dublin,Ireland,False,True,0,0,0,0
1900-03-26,1900,3,1900,Early Era (1900-1929),Wales,England,1,1,0,2,draw,False,,,British Home Championship,3,False,Cardiff,Wales,False,True,0,0,0,0
1900-04-07,1900,4,1900,Early Era (1900-1929),Scotland,England,4,1,3,5,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1901-02-23,1901,2,1900,Early Era (1900-1929),Scotland,Northern Ireland,11,0,11,11,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1901-03-02,1901,3,1900,Early Era (1900-1929),Wales,Scotland,1,1,0,2,draw,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1901-03-09,1901,3,1900,Early Era (1900-1929),England,Northern Ireland,3,0,3,3,home_win,False,,,British Home Championship,3,False,Southampton,England,False,True,0,0,0,0
1901-03-18,1901,3,1900,Early Era (1900-1929),England,Wales,6,0,6,6,home_win,False,,,British Home Championship,3,False,Newcastle,England,False,True,0,0,0,0
1901-03-23,1901,3,1900,Early Era (1900-1929),Northern Ireland,Wales,0,1,-1,1,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1901-03-30,1901,3,1900,Early Era (1900-1929),England,Scotland,2,2,0,4,draw,False,,,British Home Championship,3,False,London,England,False,True,0,0,0,0
1902-02-22,1902,2,1900,Early Era (1900-1929),Wales,Northern Ireland,0,3,-3,3,away_win,False,,,British Home Championship,3,False,Cardiff,Wales,False,True,0,0,0,0
1902-03-01,1902,3,1900,Early Era (1900-1929),Northern Ireland,Scotland,1,5,-4,6,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1902-03-03,1902,3,1900,Early Era (1900-1929),Wales,England,0,0,0,0,draw,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1902-03-15,1902,3,1900,Early Era (1900-1929),Scotland,Wales,5,1,4,6,home_win,False,,,British Home Championship,3,False,Greenock,Scotland,False,True,0,0,0,0
